date,precipitation,temp_max,temp_min,wind,weather
1/1/2012,0,12.8,5,4.7,drizzle
1/2/2012,10.9,10.6,2.8,4.5,rain
1/3/2012,0.8,11.7,7.2,2.3,rain
1/5/2012,1.3,8.9,2.8,6.1,rain
1/6/2012,2.5,4.4,2.2,2.2,rain
1/7/2012,0,7.2,2.8,2.3,rain
1/8/2012,0,10,2.8,2,sun
1/9/2012,4.3,9.4,5,3.4,rain
1/9/2012,4.3,9.4,5,3.4,rain
1/10/2012,1,6.1,0.6,3.4,rain
1/11/2012,0,6.1,-1.1,5.1,sun
1/12/2012,0,6.1,-1.7,1.9,sun
1/13/2012,0,5,-2.8,1.3,sun
1/14/2012,4.1,4.4,0.6,5.3,snow
1/15/2012,5.3,1.1,-3.3,3.2,snow
1/16/2012,2.5,1.7,-2.8,5,snow
1/17/2012,8.1,3.3,0,5.6,snow






